Code,Plot,Canal_Type,Location,Neighbor_Node,Sampling_Day,Tide_Phase,Tide_State,Distance_to_Neighbor_m,Water_Depth_m,Streamwise_Velocity_U_m_s,Diffusivity_Vertical_m2_s,Diffusivity_Lateral_m2_s,Diffusivity_Longitudinal_m2_s,Input_Near_Bed_Conc_sb_g_L,Target_Measured_Avg_s0_g_L
14_J_2_Day_1_HT,14,LC,J,I,Day_1,Neap,HT,62.89,1.09,0.0279,0.000104,0.15,0.15,0.119,0.0915
14_J_2_Day_1_LT,14,LC,J,I,Day_1,Neap,LT,62.89,0.98,-0.0169,0.000057,0.15,0.15,0.0469,0.0361
14_J_2_Day_2_HT,14,LC,J,I,Day_2,Spring,HT,62.89,1.09,0.0214,0.00008,0.15,0.15,0.0777,0.0598
14_J_2_Day_2_LT,14,LC,J,I,Day_2,Spring,LT,62.89,0.98,-0.0218,0.000073,0.15,0.15,0.0417,0.0321
14_J_2_Day_3_HT,14,LC,J,I,Day_3,Spring,HT,62.89,1.09,0.0237,0.000088,0.15,0.15,0.0135,0.0104
14_J_2_Day_3_LT,14,LC,J,I,Day_3,Spring,LT,62.89,0.98,-0.0185,0.000062,0.15,0.15,0.0135,0.0104
14_K_2_Day_1_HT,14,LC,K,J,Day_1,Neap,HT,70.66,0.42,0.0075,0.000011,0.15,0.15,0.0291,0.0224
14_K_2_Day_1_LT,14,LC,K,J,Day_1,Neap,LT,70.66,0.37,-0.0077,0.00001,0.15,0.15,0.064,0.0493
14_K_2_Day_2_HT,14,LC,K,J,Day_2,Spring,HT,70.66,0.42,0.0108,0.000015,0.15,0.15,0.1309,0.1007
14_K_2_Day_2_LT,14,LC,K,J,Day_2,Spring,LT,70.66,0.37,-0.009,0.000011,0.15,0.15,0.1248,0.096
14_K_2_Day_3_HT,14,LC,K,J,Day_3,Spring,HT,70.66,0.42,0.0074,0.000011,0.15,0.15,0.0645,0.0496
14_K_2_Day_3_LT,14,LC,K,J,Day_3,Spring,LT,70.66,0.37,-0.0069,0.000009,0.15,0.15,0.0027,0.0021
15_I_2_Day_1_HT,15,LC,I,Dutch_Canal,Day_1,Neap,HT,0,1,0.0227,0.000078,0.15,0.15,0.08,0.06
15_I_2_Day_1_LT,15,LC,I,Dutch_Canal,Day_1,Neap,LT,0,0.93,-0.0238,0.000076,0.15,0.15,0.06,0.045
15_J_2_Day_1_HT,15,LC,J,I,Day_1,Neap,HT,64.2,1,0.0227,0.000078,0.15,0.15,0.0746,0.0574
15_J_2_Day_1_LT,15,LC,J,I,Day_1,Neap,LT,64.2,0.93,-0.0238,0.000076,0.15,0.15,0.0559,0.043
15_J_2_Day_2_HT,15,LC,J,I,Day_2,Spring,HT,64.2,1,0.0244,0.000083,0.15,0.15,0.0641,0.0493
15_J_2_Day_2_LT,15,LC,J,I,Day_2,Spring,LT,64.2,0.93,-0.016,0.000051,0.15,0.15,0.0621,0.0478
15_J_2_Day_3_HT,15,LC,J,I,Day_3,Spring,HT,64.2,1,0.0172,0.000059,0.15,0.15,0.0081,0.0062
15_J_2_Day_3_LT,15,LC,J,I,Day_3,Spring,LT,64.2,0.93,-0.0221,0.00007,0.15,0.15,0.1154,0.0888
15_K_2_Day_1_HT,15,LC,K,J,Day_1,Neap,HT,72.43,0.62,0.0132,0.000028,0.15,0.15,0.0498,0.0383
15_K_2_Day_1_LT,15,LC,K,J,Day_1,Neap,LT,72.43,0.58,-0.0109,0.000022,0.15,0.15,0.0724,0.0557
15_K_2_Day_2_HT,15,LC,K,J,Day_2,Spring,HT,72.43,0.62,0.0151,0.000032,0.15,0.15,0.0498,0.0383
15_K_2_Day_2_LT,15,LC,K,J,Day_2,Spring,LT,72.43,0.58,-0.0109,0.000022,0.15,0.15,0.0333,0.0256
15_K_2_Day_3_HT,15,LC,K,J,Day_3,Spring,HT,72.43,0.62,0.0135,0.000029,0.15,0.15,0.051,0.0392
15_K_2_Day_3_LT,15,LC,K,J,Day_3,Spring,LT,72.43,0.58,-0.0126,0.000025,0.15,0.15,0.0442,0.034
