Code,Plot,Canal_Type,Location,Neighbor_Node,Sampling_Day,Tide_Phase,Tide_State,Distance_to_Neighbor_m,Water_Depth_m,Streamwise_Velocity_U_m_s,Diffusivity_Vertical_m2_s,Diffusivity_Lateral_m2_s,Diffusivity_Longitudinal_m2_s,Input_Near_Bed_Conc_sb_g_L,Target_Measured_Avg_s0_g_L,Settling_Velocity_w_m_s,Modelled_s0,Peclet_Number,Residual,Abs_Error,Squared_Error
14_J_2_Day_1_LT,14,LC,J,I,Day_1,Neap,LT,62.89,0.98,-0.0169,5.7e-05,0.15,0.15,0.0469,0.0361,0.0005,593.308335384772,7.085606666666666,-593.272235384772,593.272235384772,351971.9452784443
14_K_2_Day_1_HT,14,LC,K,J,Day_1,Neap,HT,70.66,0.42,0.0075,1.1e-05,0.15,0.15,0.0291,0.0224,0.0005,1342.279349162996,3.5329999999999995,-1342.2569491629959,1342.2569491629959,1801653.7175763533
14_K_2_Day_1_LT,14,LC,K,J,Day_1,Neap,LT,70.66,0.37,-0.0077,1e-05,0.15,0.15,0.064,0.0493,0.0005,1342.2087267102827,3.627213333333333,-1342.1594267102828,1342.1594267102828,1801391.926707275
14_J_2_Day_2_HT,14,LC,J,I,Day_2,Spring,HT,62.89,1.09,0.0214,8e-05,0.15,0.15,0.0777,0.0598,0.0005,593.3269997929257,8.972306666666666,-593.2671997929257,593.2671997929257,351965.9703501392
14_J_2_Day_2_LT,14,LC,J,I,Day_2,Spring,LT,62.89,0.98,-0.0218,7.3e-05,0.15,0.15,0.0417,0.0321,0.0005,593.3014098160065,9.140013333333334,-593.2693098160065,593.2693098160065,351968.4739695607
14_K_2_Day_2_HT,14,LC,K,J,Day_2,Spring,HT,70.66,0.42,0.0108,1.5e-05,0.15,0.15,0.1309,0.1007,0.0005,1342.1631426729732,5.0875200000000005,-1342.0624426729732,1342.0624426729732,1801131.6000333475
14_K_2_Day_2_LT,14,LC,K,J,Day_2,Spring,LT,70.66,0.37,-0.009,1.1e-05,0.15,0.15,0.1248,0.096,0.0005,1342.109604668042,4.2396,-1342.013604668042,1342.013604668042,1801000.5151141118
14_J_2_Day_3_HT,14,LC,J,I,Day_3,Spring,HT,62.89,1.09,0.0237,8.8e-05,0.15,0.15,0.0135,0.0104,0.0005,593.2822290735952,9.93662,-593.2718290735952,593.2718290735952,351971.4631723292
14_J_2_Day_3_LT,14,LC,J,I,Day_3,Spring,LT,62.89,0.98,-0.0185,6.2e-05,0.15,0.15,0.0135,0.0104,0.0005,593.2818957918269,7.756433333333334,-593.2714957918269,593.2714957918269,351971.06771907164
14_K_2_Day_3_HT,14,LC,K,J,Day_3,Spring,HT,70.66,0.42,0.0074,1.1e-05,0.15,0.15,0.0645,0.0496,0.0005,1342.190438715752,3.4858933333333337,-1342.140838715752,1342.140838715752,1801342.030948622
14_K_2_Day_3_LT,14,LC,K,J,Day_3,Spring,LT,70.66,0.37,-0.0069,9e-06,0.15,0.15,0.0027,0.0021,0.0005,1342.2062185846858,3.25036,-1342.2041185846858,1342.2041185846858,1801511.8959456934
15_I_2_Day_1_HT,15,LC,I,Dutch_Canal,Day_1,Neap,HT,0.0,1.0,0.0227,7.8e-05,0.15,0.15,0.08,0.06,0.0005,0.06,0.0,0.0,0.0,0.0
15_I_2_Day_1_LT,15,LC,I,Dutch_Canal,Day_1,Neap,LT,0.0,0.93,-0.0238,7.6e-05,0.15,0.15,0.06,0.045,0.0005,0.045,0.0,0.0,0.0,0.0
15_J_2_Day_1_HT,15,LC,J,I,Day_1,Neap,HT,64.2,1.0,0.0227,7.8e-05,0.15,0.15,0.0746,0.0574,0.0005,618.3005332125621,9.7156,-618.243133212562,618.243133212562,382224.57176448574
15_J_2_Day_1_LT,15,LC,J,I,Day_1,Neap,LT,64.2,0.93,-0.0238,7.6e-05,0.15,0.15,0.0559,0.043,0.0005,618.2867430778326,10.186400000000003,-618.2437430778326,618.2437430778326,382225.3258548891
15_K_2_Day_1_HT,15,LC,K,J,Day_1,Neap,HT,72.43,0.62,0.0132,2.8e-05,0.15,0.15,0.0498,0.0383,0.0005,1405.2039474008936,6.37384,-1405.1656474008937,1405.1656474008937,1974490.4966355728
15_K_2_Day_1_LT,15,LC,K,J,Day_1,Neap,LT,72.43,0.58,-0.0109,2.2e-05,0.15,0.15,0.0724,0.0557,0.0005,1405.1859968768592,5.263246666666667,-1405.1302968768593,1405.1302968768593,1974391.151201251
15_J_2_Day_2_HT,15,LC,J,I,Day_2,Spring,HT,64.2,1.0,0.0244,8.3e-05,0.15,0.15,0.0641,0.0493,0.0005,618.2901275007538,10.443200000000001,-618.2408275007538,618.2408275007538,382221.72078881675
15_J_2_Day_2_LT,15,LC,J,I,Day_2,Spring,LT,64.2,0.93,-0.016,5.1e-05,0.15,0.15,0.0621,0.0478,0.0005,618.2865358669388,6.848000000000001,-618.2387358669388,618.2387358669388,382219.1345263505
15_K_2_Day_2_HT,15,LC,K,J,Day_2,Spring,HT,72.43,0.62,0.0151,3.2e-05,0.15,0.15,0.0498,0.0383,0.0005,1405.1949199267897,7.291286666666669,-1405.1566199267897,1405.1566199267897,1974465.1265240808
15_K_2_Day_2_LT,15,LC,K,J,Day_2,Spring,LT,72.43,0.58,-0.0109,2.2e-05,0.15,0.15,0.0333,0.0256,0.0005,1405.194690425055,5.263246666666667,-1405.169090425055,1405.169090425055,1974500.1726859761
15_J_2_Day_3_HT,15,LC,J,I,Day_3,Spring,HT,64.2,1.0,0.0172,5.9e-05,0.15,0.15,0.0081,0.0062,0.0005,618.2513920411382,7.361600000000001,-618.2451920411381,618.2451920411381,382227.11748198373
15_J_2_Day_3_LT,15,LC,J,I,Day_3,Spring,LT,64.2,0.93,-0.0221,7e-05,0.15,0.15,0.1154,0.0888,0.0005,618.3239532579652,9.458800000000002,-618.2351532579652,618.2351532579652,382214.7047238997
15_K_2_Day_3_HT,15,LC,K,J,Day_3,Spring,HT,72.43,0.62,0.0135,2.9e-05,0.15,0.15,0.051,0.0392,0.0005,1405.1574351651957,6.518700000000001,-1405.1182351651958,1405.1182351651958,1974357.2547937543
15_K_2_Day_3_LT,15,LC,K,J,Day_3,Spring,LT,72.43,0.58,-0.0126,2.5e-05,0.15,0.15,0.0442,0.034,0.0005,1405.2274178610924,6.08412,-1405.1934178610923,1405.1934178610923,1974568.5416001382
